Title,Date,Creator,Identifier,Recipient,Gender of Author,Age of Author,Identified People,Unidentified People,Subject,Geographic Subjects,Place Of Origin,Destination,Notes,Language,Transcript,Reference URL,CONTENTdm number,CONTENTdm file name
1889 September 20COMMA AwburyCOMMA to Lilly,1889-09-20,LewisCOMMA Caroline Mary CopeCOMMA 1865-1953,hsc0025,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,F,30-40,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; MorrisCOMMA Elliston P. (Elliston Perot)COMMA 1831-1914; LewisCOMMA William DraperCOMMA 1867-1949,J and R.,Betrothal; Love; Courtship,,Awbury (PhiladelphiaCOMMA Pa.); Germantown (PhiladelphiaCOMMA Pa.),,Related file: hsc0025f,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/714,714,10641717122002_hsc0025.cpd
1867 August 18 and 20COMMA NewportCOMMA to Father,1867-08-18,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944,hsc0111,CopeCOMMA Francis ReeveCOMMA 1821-1909,M,10-20,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; CopeCOMMA Francis ReeveCOMMA 1821-1909; HartshorneCOMMA HenryCOMMA 1823-1897 ; MerrittCOMMA George F.; WilliamsCOMMA MaryCOMMA 1795?-1871; CopeCOMMA AlfredCOMMA  1857-1897; CopeCOMMA Francis HazenCOMMA 1859-1909; LongstrethCOMMA Thomas KimberCOMMA 1851-1883;,,Sailing; Children and the sea; Family; Outdoor  recreation; Voyages and Travels; Transportation; Nature; Saltwater fishing; Fishes; Private libraries;,Newport (R.I.),Newport (R.I.),England,This letter contains two separate sections: one dated 8/18  and the second dated 8/20.<br><br>Beaver Tail is a  lighthouse located in JamestownCOMMA Rhode Island.  For a  description of many of the geographic locations mentioned in  the letterCOMMA see Newport and How to See It (Newport: Davis &  PitmanCOMMA 1869).,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/716,716,122241717122002_hsc0111.cpd
1896 August 3COMMA PhiladelphiaCOMMA to Frank,1896-08-03,StoneCOMMA WitmerCOMMA 1866-1939,hsc0047,CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962,M,30-40,,,Birds--Research;  Ornithology;,Dimock (Pa.); Susquehanna County (Pa.); Catskill Mountains   (N.Y.),Philadelphia (Pa.),Dimock (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/717,717,1381717122002_hsc0047.cpd
[1805-1809?] to Henry CopeCOMMA Weston,,DrinkerCOMMA Rachel,hsc0124,CopeCOMMA HenryCOMMA 1793-1865,F,70-80,CopeCOMMA FrancisCOMMA 1794-1816; CopeCOMMA HenryCOMMA 1793-1865; CopeCOMMA William D. (William Drinker)COMMA 1798-1873; YarnallCOMMA Caroline R. (Caroline Rachel) CopeCOMMA 1802-1881,Rebeckah,Health;  Family; Voyages and Travels; Child caregivers,,Pennsylvania,Westtown Boarding SchoolCOMMA PA,Weston has been written in pencil but appears to be in the                same hand.<br><br>Letter date unknownCOMMA probably 1805-1809.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/718,718,138251717122002_hsc0124.cpd
1879 January 6COMMA PhiladelphiaCOMMA to RuthAnna CopeCOMMA Germantown,1879-01-06,RandolfCOMMA Richard,hsc1013,CopeCOMMA RuthannaCOMMA 1834-1879;,M,,,,Bible--Study and teaching--Society of Friends;,Germantown (PhiladelphiaCOMMA Pa.),PhiladelphiaCOMMA (Pa. ),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/721,721,153271717122002_hsc1013.cpd
1865 April 11COMMA BCOMMA to Mother and sisters,1865-04-11,CopeCOMMA ClementineCOMMA 1835-1903,hsc0001,CopeCOMMA Susan L. NewboldCOMMA 1805-1872,F,20-30,CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CopeCOMMA Thomas PimCOMMA 1823-1900; ChestonCOMMA Margaret CareyCOMMA d. 1874; TysonCOMMA Jesse; LytleCOMMA HannahCOMMA 1814-1899; ValentineCOMMA JuliaCOMMA 1808-1892; ThomasCOMMA James CareyCOMMA 1833-1897,H. King and Miss M.,Society of Friends; Freedmen--United States; Clothing and dress; Baltimore (Md.)--History; LincolnCOMMA AbrahamCOMMA 1809-1865--Assassination,Philadelphia (Pa.),Baltimore (Md.),Philadelphia (Pa.),"This letter was dated incorrectly (""64"") and edited in another hand. The correct date is 1865.",English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/722,722,153451717122002_hsc0001.cpd
1911 April 2COMMA AwburyCOMMA to Lilly,1911-04-02,LewisCOMMA Caroline Mary CopeCOMMA 1865-1953,hsc0026,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,F,40-50,EvansCOMMA JonathanCOMMA 1843-1911; CopeCOMMA Anna StewardsonCOMMA  1822-1916; LewisCOMMA William DraperCOMMA 1867-1949; EvansCOMMA Rachel  Reeve CopeCOMMA 1850-1939; CopeCOMMA Thomas P. (Thomas Pim)COMMA  1852-1944; FooteCOMMA Eleanor Tyson CopeCOMMA 1879-1973;,Miss RichardsonCOMMA Susan StewartCOMMA and Miss Moses (all nurses),Voyages and Travels--Health aspects;  Bereavement in old age; African  Americans--History -1877-1964; Letter writing; Health;,Northeast Harbor (Me.); ; Awbury (PhiladelphiaCOMMA Pa.),Awbury (PhiladelphiaCOMMA Pa.),Ann ArborCOMMA MI,Date written in pencil.<br><br>The Colored Summer Home  mentioned may be a cottage on the grounds of the Institute  for Colored Youth in CheyneyCOMMA PA (now Cheyney University).   The cottageCOMMA financed primarily by a $3000 donation from  Susanna BrintonCOMMA housed students attending the Institute’s  summer sessions.  By July 11COMMA 1911COMMA fourteen students lived  in the cottage.  Information from Charline Howard Conyers’ A  Living Legend: The History of Cheyney UniversityCOMMA 1837-1951  (CheyneyCOMMA PA: Cheyney University PressCOMMA 1990).<br><br>,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/724,724,18441717122002_hsc0026.cpd
1867 August 26COMMA NewportCOMMA to father,1867-08-26,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944,hsc0112,CopeCOMMA Francis ReeveCOMMA 1821-1909,M,10-20,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953;   CopeCOMMA Francis ReeveCOMMA 1821-1909; HartshorneCOMMA Virginia; CarterCOMMA Alice H.COMMA 1838?-1919; MerrittCOMMA George F.; WilliamsCOMMA MaryCOMMA 1795?-1871; CopeCOMMA AlfredCOMMA 1857-1897; CopeCOMMA Francis HazenCOMMA 1859-1909; LongstrethCOMMA Thomas KimberCOMMA 1851-1883;,"BarlowCOMMA George; CarterCOMMA H. (possibly Hannah F. CarterCOMMA    1849?-1940COMMA of MoorestownCOMMA NJ); CollinsCOMMA M. (possibly Mary    Ann collinsCOMMA b. 9/16/1839COMMA of GermantownCOMMA PA); CollinsCOMMA M.C.    (possibly Margaret C. CollinsCOMMA b. 3/9/1852COMMA of GermantownCOMMA    PA); CopeCOMMA M. C.; MerrittCOMMA George F. (looked after the Cope    boys); MerrittCOMMA Henry; MerrittCOMMA HenryCOMMA Jr.; NewhallCOMMA Abby;    NewhallCOMMA M (possibly Mary E. NewhallCOMMA 1831?-1906COMMA of LynnCOMMA    Mass.  See Friend 79COMMA 368); BrownCOMMA Mary Farnum (""Mame"")",Sailing; Quakers--Anecdotes; Outdoor recreation; Food habits; Health; Boardinghouses; Family; Youth; Quakers--Humor; Logbooks;,Great Britain; Point Judith Harbor of Refuge (R.I.); North Kingstown (R.I.);,Newport (R.I.),England,"For a description of many of the geographic locations mentioned in the letterCOMMA see ""Newport and How to See It"" (Newport: Davis & PitmanCOMMA 1869).<br><br>Wickford is the local name for North KingstownCOMMA Rhode Island.",English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/725,725,200241717122002_hsc0112.cpd
1905 July 17COMMA PhiladelphiaCOMMA to Mr. Jonothan EvansCOMMA JamestownCOMMA R.I.,1905-07-17,SnoverCOMMA B.M.,hsc0036,EvansCOMMA JonathanCOMMA 1843-1911,M,,LewisCOMMA William DraperCOMMA 1867-1949;        EvansCOMMA Edward W.  (Edward Wyatt)COMMA 1882-1976;,,Student records;  Law students--United States;,Philadelphia (Pa.); Jamestown (R.I.),Philadelphia(Pa.),JamestownCOMMA RI,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/726,726,20071717122002_hsc0036.cpd
1831 August 1COMMA PhiladelphiaCOMMA to Sister,1831-08-01,TysonCOMMA Eleanor CopeCOMMA 1807-1847;,hsc0050,CopeCOMMA Rachel ReeveCOMMA 1794-1863;,F,20-30,CopeCOMMA JasperCOMMA 1775-1856; StokesCOMMA MaryCOMMA 1825-1847; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1768-1854; HainesCOMMA Mary D. (Mary Drinker Cope)COMMA 1819-1890;,Henry; Maryann; Frank; Anna Braithwaithes; Caroline; Jeremiah Hubard; A. Barker; Joel Woolman; Caleb; Abbeyann Cope; Martha;,Health; Letter writing; Family;,Cincinnati (Ohio); Providence (R.I.); Philadelphia (Pa.); Deal Lake (N.J.);,Philadelphia (Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/727,727,21681717122002_hsc0050.cpd
