Name,Latitude,Longitude
"Lugano, Switzerland",46.0065117,8.9523121
"Richfield, N.Y.",42.8572942,-75.05404680000001
"Frohburg, Germany",51.05855159999999,12.5581919
Kensington,51.4912,-0.1769
"WestPoint, N.Y.",41.3914827,-73.95597210000001
"NewGardenBoardingSchool, Chester",53.193392,-2.893075
CalconHook,39.9015003,-75.2630473
"Wilmington, Del.",39.7390721,-75.5397878
"BridgewaterCottage, Hampton",43.697699,-71.631886
"WesttownBoardingSchool, PA",41.2033216,-77.1945247
"HotSprings, Va.",37.9993993,-79.831587
"Golspie, Scotland",57.973406,-3.976086
Westtown,41.336761,-74.5398821
"NewBedford, Mass.",41.6362152,-70.93420499999999
"Camden, S.C.",34.24653929999999,-80.6070237
Montrose,56.706922,-2.466115
"Lichfield, England",52.681602,-1.831672
"DinnockP.O., Pennsylvania",41.2033216,-77.1945247
"Birmingham, ChesterCountyPa",39.90510990000001,-75.5943746
"Geneva, N.Y.",42.8679836,-76.985557
"MasseyFarm, Md.",39.3509248,-75.90537929999999
"Conanicut, Island:R.I.",41.5376018,-71.3758871
"Genoa, Italy",44.4056499,8.946256
Burlington,44.4758825,-73.21207199999999
Maryland,39.0457549,-76.64127119999999
"Quebec, Province",52.9399159,-73.5491361
"Lausanne, Switzerland",46.5199617,6.633597099999999
"Stoddartsville, Pa.",41.129807,-75.6282449
"Rutland, Vt.",43.6106237,-72.9726065
"Chester, Pa.",39.849557,-75.3557457
"Albany, N.Y.",42.6525793,-73.7562317
"Easton, PA",40.688432,-75.2207323
"Lynchburg, Va.",37.4137536,-79.14224639999999
"SusquehannaCounty, Pa.",41.745553,-75.8069082
"Hereford, England",52.05639799999999,-2.715974
"Mt.Pleasant, Ohio",40.1753485,-80.7978631
"Holderness, N.H.:Town",43.7320175,-71.5884095
"Mountrath, Ireland",53.0025597,-7.4751396
"Tannersville, N.Y.",42.1956438,-74.13375080000002
"Rosemont, Pa.",40.0256664,-75.3237979
"Downingtown, Pa.",40.0064958,-75.7032742
"Magnolia, Mass.",42.5737067,-70.7106005
"Windermere, England",54.380685,-2.906785
"Westtown, Pa.",39.9444343,-75.55678209999999
LancasterPA,40.0378755,-76.3055144
"Canonicut, Island:R.I.",41.5376018,-71.3758871
"Philadelphia, pa",39.952335,-75.16378900000001
Europe,54.5259614,15.2551187
"NewYork, NY",40.7056308,-73.9780035
"Aberfoyle, Scotland",56.181314,-4.387737
"Philadelpia, Pa.",39.952335,-75.16378900000001
