place,latitude,longitude
"Lugano, Switzerland",46.0065117,8.9523121
"Caldwell Lake George, NY",43.422655,-73.7186387
"Sweet Springs, WV",37.6284581,-80.2414491
"Avebury, England",51.42945599999999,-1.853046
"Mentone/Menton, France",43.7741572,7.4976829
"Mount Desert, ME",44.3357884,-68.31936139999999
"Lake Winnipisseogee, NH",43.1938516,-71.5723953
"Lake Windermere, England",54.35833299999999,-2.936111
"WestPoint, NY",41.3914827,-73.95597210000001
"Paris, France",48.856614,2.3522219
"Florence, Italy",43.7710332,11.2480006
"Edinborough, Scotland",55.8597341,-3.2083719
"Liverpool, England",53.4083714,-2.9915726
"Catskills, NY",41.9355647,-74.01552029999999
Washington D.C.,38.9071923,-77.0368707
"Frohburg, Germany",51.05855159999999,12.5581919
"Camaldoli, Italy",43.7944916,11.8203778
"Boston, MA",42.3584308,-71.0597732
"Sulfur Springs, WV",38.1627271,-81.92678029999999
"Venice, Italy",45.4408474,12.3155151
"Rome, Italy",41.8723889,12.4801802
"Oban, Scotland",56.415157,-5.471047
"London, England",51.5073509,-0.1277583
"Philadelphia, PA",39.952335,-75.16378900000001
"Ashbourne, England",53.016626,-1.732179
"Cannes, France",43.552847,7.017369
"Lake Placid, NY",44.2794911,-73.9798713
"The Hague, Netherlands",52.0704978,4.3006999
"Charleston, SC",32.7764749,-79.93105120000001
"Hopatcong, NJ",40.9328762,-74.6593281
"Chalybeate Springs, NC",35.508492,-78.81390499999999
"Bar Harbor, ME",44.3876119,-68.2039123
"Reichenbach, Germany",50.616667,12.3
"Lynchburg, VA",37.4137536,-79.14224639999999
"Farmville, VA",37.3020965,-78.3919401
Franconia,44.2271729,-71.7479075
"Newport, ME",44.836944,-69.2725
